line,station
S,42 Street-Times Square
S,42 St-Grand Central
S,Franklin Avenue Shuttle
S,Franklin Avenue
S,Park Place
S,Botanic Garden
S,Prospect Park
S,Rockaway Park Shuttle
S,Broad Channel
S,Beach 90 Street
S,Beach 98 Street
S,Beach 105 Street
S,Rockaway Park-Beach 116 StreetS,
