line,station
L,8 Avenue
L,6 Avenue
L,14 Street/Union Square 
L,3 Avenue
L,1 Avenue
L,Bedford Avenue
L,Lorimer Street
L,Graham Avenue
L,Grand Street
L,Montrose Avenue
L,Morgan Avenue
L,Jefferson Street
L,DeKalb Avenue
L,Myrtle-Wyckoff Avenues
L,Halsey Street
L,Wilson Avenue
L,Bushwick Avenue-Aberdeen Street
L,Broadway Junction(Fulton Street)
L,Atlantic Avenue 
L,Sutter Avenue
L,Livonia Avenue
L,New Lots Avenue
L,East 105 Street
L,Canarsie-Rockaway Parkway
